"S120VC	2000-03-19 01:24:40",,,,"2.262625E-04	51",2.262625E-04
"value unit [W]	time unit [ms]",,,,"2.288373E-04	351","2.288373E-04	"
"wavelength	460.000nm",,,,"2.305982E-04	651","2.305982E-04	"
"range	AUTO",,,,"2.323371E-04	951","2.323371E-04	"
"2.262625E-04	51",,,,"2.342366E-04	1251","2.342366E-04	"
"2.288373E-04	351",,,,"2.357009E-04	1551","2.357009E-04	"
"2.305982E-04	651",,,,"2.376912E-04	1851","2.376912E-04	"
"2.323371E-04	951",,,,"2.394844E-04	2151","2.394844E-04	"
"2.342366E-04	1251",,,,"2.417457E-04	2451","2.417457E-04	"
"2.357009E-04	1551",,,,"2.423750E-04	2751","2.423750E-04	"
"2.376912E-04	1851",,,,"2.452060E-04	3051","2.452060E-04	"
"2.394844E-04	2151",,,,"2.467398E-04	3351","2.467398E-04	"
"2.417457E-04	2451",,,,"2.481588E-04	3651","2.481588E-04	"
"2.423750E-04	2751",,,,"2.502671E-04	3951","2.502671E-04	"
"2.452060E-04	3051",,,,"2.524655E-04	4251","2.524655E-04	"
"2.467398E-04	3351",,,,"2.532640E-04	4551","2.532640E-04	"
"2.481588E-04	3651",,,,"2.554180E-04	4851","2.554180E-04	"
"2.502671E-04	3951",,,,"2.555693E-04	5151","2.555693E-04	"
"2.524655E-04	4251",,,,"2.592388E-04	5451","2.592388E-04	"
"2.532640E-04	4551",,,,"2.606643E-04	5751","2.606643E-04	"
"2.554180E-04	4851",,,,"2.617003E-04	6051","2.617003E-04	"
"2.555693E-04	5151",,,,"2.640799E-04	6351","2.640799E-04	"
"2.592388E-04	5451",,,,"2.655314E-04	6651","2.655314E-04	"
"2.606643E-04	5751",,,,"2.674875E-04	6953","2.674875E-04	"
"2.617003E-04	6051",,,,"2.691026E-04	7253","2.691026E-04	"
"2.640799E-04	6351",,,,"2.709240E-04	7553","2.709240E-04	"
"2.655314E-04	6651",,,,"2.720689E-04	7853","2.720689E-04	"
"2.674875E-04	6953",,,,"2.740827E-04	8153","2.740827E-04	"
"2.691026E-04	7253",,,,"2.758003E-04	8453","2.758003E-04	"
"2.709240E-04	7553",,,,"2.768228E-04	8753","2.768228E-04	"
"2.720689E-04	7853",,,,"2.794887E-04	9053","2.794887E-04	"
"2.740827E-04	8153",,,,"2.804345E-04	9353","2.804345E-04	"
"2.758003E-04	8453",,,,"2.828099E-04	9653","2.828099E-04	"
"2.768228E-04	8753",,,,"2.839440E-04	9953",2.839440E-04
"2.794887E-04	9053",,,,"2.858147E-04	10253","2.858147E-04	"
"2.804345E-04	9353",,,,"2.873566E-04	10553","2.873566E-04	"
"2.828099E-04	9653",,,,"2.885163E-04	10853","2.885163E-04	"
